t,S_mean,E_mean,I_mean,R_mean
179,5817.0,120.66666666666667,179.66666666666666,13882.666666666666
180,5814.333333333333,128.66666666666666,188.33333333333334,13868.666666666666
181,5816.333333333333,131.66666666666666,208.0,13844.0
182,5807.333333333333,140.33333333333334,215.33333333333334,13837.0
183,5810.0,140.33333333333334,228.66666666666666,13821.0
184,5795.0,154.0,241.33333333333334,13809.666666666666
185,5787.666666666667,167.0,249.66666666666666,13795.666666666666
186,5769.666666666667,178.33333333333334,262.0,13790.0
187,5749.333333333333,194.66666666666666,274.0,13782.0
188,5723.666666666667,198.33333333333334,285.0,13793.0
189,5692.666666666667,211.0,296.6666666666667,13799.666666666666
190,5678.666666666667,214.33333333333334,313.0,13794.0
191,5646.0,226.0,331.0,13797.0
192,5613.666666666667,245.0,338.3333333333333,13803.0
193,5577.0,244.0,378.3333333333333,13800.666666666666
194,5540.666666666667,252.66666666666666,400.0,13806.666666666666
195,5490.666666666667,271.6666666666667,416.6666666666667,13821.0
196,5452.333333333333,277.0,438.3333333333333,13832.333333333334
197,5408.0,292.6666666666667,460.6666666666667,13838.666666666666
198,5345.666666666667,304.0,488.6666666666667,13861.666666666666
199,5283.333333333333,326.6666666666667,501.3333333333333,13888.666666666666
200,5218.0,330.0,531.3333333333334,13920.666666666666
201,5158.333333333333,346.6666666666667,554.3333333333334,13940.666666666666
202,5083.0,351.3333333333333,581.3333333333334,13984.333333333334
203,5023.666666666667,361.3333333333333,596.0,14019.0
204,4960.666666666667,367.3333333333333,623.3333333333334,14048.666666666666
205,4898.0,375.3333333333333,635.0,14091.666666666666
206,4815.0,393.3333333333333,660.3333333333334,14131.333333333334
207,4731.666666666667,405.3333333333333,680.0,14183.0
208,4651.333333333333,425.3333333333333,701.6666666666666,14221.666666666666
209,4572.0,420.3333333333333,727.6666666666666,14280.0
210,4500.0,417.0,752.6666666666666,14330.333333333334
211,4423.0,425.6666666666667,763.6666666666666,14387.666666666666
212,4341.0,431.0,777.0,14451.0
213,4277.333333333333,430.0,804.3333333333334,14488.333333333334
214,4199.333333333333,443.0,825.3333333333334,14532.333333333334
215,4124.333333333333,444.6666666666667,847.6666666666666,14583.333333333334
216,4051.6666666666665,454.6666666666667,849.6666666666666,14644.0
217,3971.0,465.0,860.0,14704.0
218,3894.0,460.3333333333333,885.6666666666666,14760.0
219,3820.0,470.0,884.6666666666666,14825.333333333334
220,3768.0,452.6666666666667,904.6666666666666,14874.666666666666
221,3694.3333333333335,453.6666666666667,920.6666666666666,14931.333333333334
222,3642.6666666666665,433.6666666666667,916.3333333333334,15007.333333333334
223,3571.0,437.6666666666667,922.0,15069.333333333334
224,3505.6666666666665,445.3333333333333,916.0,15133.0
225,3444.3333333333335,444.6666666666667,922.3333333333334,15188.666666666666
226,3372.6666666666665,447.0,907.3333333333334,15273.0
227,3333.3333333333335,430.0,906.6666666666666,15330.0
228,3291.0,416.0,905.3333333333334,15387.666666666666
229,3239.6666666666665,423.0,886.6666666666666,15450.666666666666
230,3188.6666666666665,408.6666666666667,889.6666666666666,15513.0
231,3147.6666666666665,403.6666666666667,874.6666666666666,15574.0
232,3107.6666666666665,392.0,871.0,15629.333333333334
233,3073.3333333333335,383.6666666666667,872.3333333333334,15670.666666666666
234,3044.6666666666665,371.3333333333333,865.6666666666666,15718.333333333334
235,3015.6666666666665,363.6666666666667,855.3333333333334,15765.333333333334
236,2997.6666666666665,353.3333333333333,840.6666666666666,15808.333333333334
237,2968.3333333333335,360.6666666666667,824.3333333333334,15846.666666666666
238,2956.0,356.0,797.0,15891.0
239,2927.0,348.6666666666667,787.3333333333334,15937.0
240,2917.6666666666665,335.6666666666667,769.0,15977.666666666666
241,2890.6666666666665,327.3333333333333,764.0,16018.0
242,2889.3333333333335,313.3333333333333,748.3333333333334,16049.0
243,2890.6666666666665,305.0,727.6666666666666,16076.666666666666
244,2895.3333333333335,283.0,722.0,16099.666666666666
245,2894.6666666666665,278.6666666666667,705.0,16121.666666666666
246,2904.3333333333335,265.6666666666667,684.3333333333334,16145.666666666666
247,2914.6666666666665,262.3333333333333,661.6666666666666,16161.333333333334
248,2940.3333333333335,258.6666666666667,636.6666666666666,16164.333333333334
249,2943.3333333333335,263.0,608.6666666666666,16185.0
250,2951.0,252.66666666666666,598.0,16198.333333333334
251,2944.6666666666665,258.6666666666667,597.6666666666666,16199.0
252,2950.0,263.0,593.0,16194.0
253,2973.0,250.0,588.0,16189.0
254,2996.0,243.66666666666666,577.0,16183.333333333334
255,3019.3333333333335,233.0,574.6666666666666,16173.0
256,3027.0,233.33333333333334,571.3333333333334,16168.333333333334
257,3040.6666666666665,224.0,572.0,16163.333333333334
258,3054.6666666666665,225.33333333333334,561.0,16159.0
259,3079.0,216.33333333333334,555.6666666666666,16149.0
260,3092.0,223.33333333333334,535.3333333333334,16149.333333333334
261,3112.0,225.33333333333334,525.6666666666666,16137.0
262,3130.3333333333335,224.33333333333334,508.3333333333333,16137.0
263,3151.0,223.33333333333334,497.3333333333333,16128.333333333334
264,3181.6666666666665,222.66666666666666,489.6666666666667,16106.0
265,3201.0,216.0,492.0,16091.0
266,3222.0,221.0,479.6666666666667,16077.333333333334
267,3253.0,215.66666666666666,472.6666666666667,16058.666666666666
268,3278.0,212.0,469.6666666666667,16040.333333333334
269,3301.6666666666665,209.33333333333334,469.6666666666667,16019.333333333334
270,3325.0,205.0,463.0,16007.0
271,3347.0,200.33333333333334,462.6666666666667,15990.0
272,3375.0,198.33333333333334,452.3333333333333,15974.333333333334
273,3411.6666666666665,199.66666666666666,443.6666666666667,15945.0
274,3446.6666666666665,199.66666666666666,434.0,15919.666666666666
275,3461.6666666666665,205.33333333333334,437.3333333333333,15895.666666666666
276,3493.0,200.0,436.0,15871.0
277,3527.0,205.66666666666666,430.3333333333333,15837.0
278,3559.3333333333335,204.33333333333334,423.3333333333333,15813.0
279,3583.6666666666665,205.66666666666666,425.3333333333333,15785.333333333334
280,3608.6666666666665,207.33333333333334,426.6666666666667,15757.333333333334
281,3649.6666666666665,202.33333333333334,424.3333333333333,15723.666666666666
282,3692.0,192.0,429.0,15687.0
283,3717.0,194.66666666666666,429.3333333333333,15659.0
284,3743.0,197.33333333333334,423.3333333333333,15636.333333333334
285,3764.6666666666665,199.0,422.0,15614.333333333334
286,3795.6666666666665,198.33333333333334,418.6666666666667,15587.333333333334
287,3813.6666666666665,199.0,425.6666666666667,15561.666666666666
288,3837.6666666666665,209.66666666666666,422.0,15530.666666666666
289,3858.0,213.66666666666666,421.3333333333333,15507.0
290,3876.6666666666665,210.33333333333334,425.3333333333333,15487.666666666666
291,3902.0,210.66666666666666,431.0,15456.333333333334
292,3928.3333333333335,216.0,430.6666666666667,15425.0
293,3951.3333333333335,215.0,428.6666666666667,15405.0
294,3962.0,217.0,438.0,15383.0
295,3981.0,229.33333333333334,429.6666666666667,15360.0
296,4005.6666666666665,230.66666666666666,438.6666666666667,15325.0
297,4024.6666666666665,238.33333333333334,445.6666666666667,15291.333333333334
298,4036.0,235.66666666666666,460.3333333333333,15268.0
299,4039.6666666666665,245.0,467.0,15248.333333333334
300,4045.0,248.0,470.3333333333333,15236.666666666666
301,4058.0,252.33333333333334,469.0,15220.666666666666
302,4078.6666666666665,241.66666666666666,479.6666666666667,15200.0
303,4082.6666666666665,249.33333333333334,485.6666666666667,15182.333333333334
304,4091.6666666666665,250.0,493.6666666666667,15164.666666666666
305,4100.0,252.66666666666666,495.3333333333333,15152.0
306,4100.333333333333,267.6666666666667,500.3333333333333,15131.666666666666
307,4101.333333333333,278.6666666666667,503.3333333333333,15116.666666666666
308,4098.666666666667,285.0,514.0,15102.333333333334
309,4103.666666666667,290.6666666666667,531.0,15074.666666666666
310,4102.666666666667,290.6666666666667,542.6666666666666,15064.0
311,4103.0,294.3333333333333,549.3333333333334,15053.333333333334
312,4106.666666666667,299.0,548.6666666666666,15045.666666666666
313,4100.333333333333,306.0,562.6666666666666,15031.0
314,4089.3333333333335,314.3333333333333,568.3333333333334,15028.0
315,4068.6666666666665,322.3333333333333,572.3333333333334,15036.666666666666
316,4061.3333333333335,326.0,583.0,15029.666666666666
317,4062.6666666666665,315.3333333333333,602.0,15020.0
318,4050.6666666666665,319.0,601.6666666666666,15028.666666666666
319,4039.3333333333335,319.6666666666667,601.0,15040.0
320,4031.3333333333335,314.0,619.3333333333334,15035.333333333334
321,4020.0,317.6666666666667,627.3333333333334,15035.0
322,4017.3333333333335,318.6666666666667,639.3333333333334,15024.666666666666
323,4000.0,329.0,646.0,15025.0
324,3995.0,336.0,644.3333333333334,15024.666666666666
325,3984.0,340.0,649.0,15027.0
326,3977.0,342.3333333333333,649.0,15031.666666666666
327,3964.6666666666665,340.6666666666667,655.6666666666666,15039.0
328,3948.6666666666665,351.6666666666667,658.3333333333334,15041.333333333334
329,3933.6666666666665,359.0,667.3333333333334,15040.0
330,3922.3333333333335,355.0,678.3333333333334,15044.333333333334
331,3910.6666666666665,367.0,675.0,15047.333333333334
332,3900.6666666666665,363.6666666666667,675.3333333333334,15060.333333333334
333,3883.3333333333335,369.6666666666667,685.0,15062.0
334,3877.0,359.3333333333333,711.0,15052.666666666666
335,3851.6666666666665,373.0,711.0,15064.333333333334
336,3840.0,358.0,732.0,15070.0
