t,S_mean,E_mean,I_mean,R_mean
214,4374.333333333333,427.3333333333333,747.0,14451.333333333334
215,4290.333333333333,433.0,790.0,14486.666666666666
216,4222.333333333333,436.6666666666667,800.3333333333334,14540.666666666666
217,4151.0,443.3333333333333,808.3333333333334,14597.333333333334
218,4089.6666666666665,434.3333333333333,833.6666666666666,14642.333333333334
219,4007.3333333333335,447.0,832.6666666666666,14713.0
220,3955.0,431.3333333333333,850.6666666666666,14763.0
221,3878.3333333333335,432.6666666666667,863.0,14826.0
222,3811.6666666666665,427.3333333333333,888.3333333333334,14872.666666666666
223,3725.3333333333335,450.6666666666667,881.3333333333334,14942.666666666666
224,3653.6666666666665,449.0,901.3333333333334,14996.0
225,3586.6666666666665,451.0,896.0,15066.333333333334
226,3513.3333333333335,453.0,900.6666666666666,15133.0
227,3464.3333333333335,438.3333333333333,914.6666666666666,15182.666666666666
228,3412.6666666666665,434.3333333333333,914.6666666666666,15238.333333333334
229,3368.6666666666665,428.0,912.6666666666666,15290.666666666666
230,3323.3333333333335,411.6666666666667,914.6666666666666,15350.333333333334
231,3256.6666666666665,420.6666666666667,911.3333333333334,15411.333333333334
232,3211.0,419.6666666666667,905.6666666666666,15463.666666666666
233,3170.6666666666665,403.6666666666667,897.3333333333334,15528.333333333334
234,3131.3333333333335,394.0,890.6666666666666,15584.0
235,3074.0,405.0,882.6666666666666,15638.333333333334
236,3035.0,398.0,869.3333333333334,15697.666666666666
237,2998.0,390.6666666666667,865.3333333333334,15746.0
238,2970.0,362.6666666666667,874.0,15793.333333333334
239,2947.0,359.6666666666667,857.6666666666666,15835.666666666666
240,2939.3333333333335,344.0,823.3333333333334,15893.333333333334
241,2926.3333333333335,349.3333333333333,789.3333333333334,15935.0
242,2909.3333333333335,330.0,783.6666666666666,15977.0
243,2891.0,316.3333333333333,774.3333333333334,16018.333333333334
244,2882.3333333333335,309.6666666666667,760.3333333333334,16047.666666666666
245,2871.6666666666665,307.3333333333333,752.0,16069.0
246,2873.0,299.3333333333333,730.3333333333334,16097.333333333334
247,2877.3333333333335,296.0,709.3333333333334,16117.333333333334
248,2876.3333333333335,284.0,701.3333333333334,16138.333333333334
249,2896.3333333333335,281.0,683.6666666666666,16139.0
250,2891.3333333333335,284.3333333333333,659.3333333333334,16165.0
251,2905.0,271.0,645.0,16179.0
252,2909.6666666666665,271.3333333333333,630.6666666666666,16188.333333333334
253,2915.0,266.0,628.0,16191.0
254,2911.3333333333335,266.0,612.6666666666666,16210.0
255,2924.3333333333335,258.6666666666667,606.3333333333334,16210.666666666666
256,2948.0,245.66666666666666,589.3333333333334,16217.0
257,2954.6666666666665,240.0,589.3333333333334,16216.0
258,2979.3333333333335,237.33333333333334,566.6666666666666,16216.666666666666
259,3008.3333333333335,230.66666666666666,546.3333333333334,16214.666666666666
260,3029.6666666666665,224.0,548.3333333333334,16198.0
261,3055.6666666666665,217.0,529.3333333333334,16198.0
262,3080.0,218.0,521.3333333333334,16180.666666666666
263,3105.0,210.33333333333334,519.0,16165.666666666666
264,3142.6666666666665,211.0,507.3333333333333,16139.0
265,3157.6666666666665,210.66666666666666,515.3333333333334,16116.333333333334
266,3171.6666666666665,218.33333333333334,501.3333333333333,16108.666666666666
267,3204.6666666666665,214.33333333333334,485.0,16096.0
268,3243.3333333333335,197.66666666666666,481.0,16078.0
269,3274.3333333333335,194.0,465.3333333333333,16066.333333333334
270,3302.6666666666665,185.33333333333334,472.0,16040.0
271,3339.0,182.0,460.0,16019.0
272,3359.3333333333335,188.0,455.0,15997.666666666666
273,3384.3333333333335,186.66666666666666,451.3333333333333,15977.666666666666
274,3423.3333333333335,189.66666666666666,443.6666666666667,15943.333333333334
275,3443.6666666666665,202.33333333333334,435.0,15919.0
276,3478.0,197.66666666666666,426.6666666666667,15897.666666666666
277,3510.3333333333335,192.33333333333334,425.6666666666667,15871.666666666666
278,3531.3333333333335,195.66666666666666,419.0,15854.0
279,3567.0,187.66666666666666,422.3333333333333,15823.0
280,3593.3333333333335,196.33333333333334,417.3333333333333,15793.0
281,3617.0,194.33333333333334,417.3333333333333,15771.333333333334
282,3648.6666666666665,193.33333333333334,419.0,15739.0
283,3674.6666666666665,204.0,412.6666666666667,15708.666666666666
284,3710.0,201.66666666666666,404.0,15684.333333333334
285,3734.0,205.33333333333334,407.3333333333333,15653.333333333334
286,3748.0,209.0,406.6666666666667,15636.333333333334
287,3772.6666666666665,208.66666666666666,409.3333333333333,15609.333333333334
288,3802.0,200.0,408.0,15590.0
289,3842.0,195.0,400.3333333333333,15562.666666666666
290,3877.0,201.33333333333334,392.0,15529.666666666666
291,3897.0,213.0,392.6666666666667,15497.333333333334
292,3938.0,205.66666666666666,396.6666666666667,15459.666666666666
293,3963.3333333333335,215.0,401.3333333333333,15420.333333333334
